ont,retardo_medio,intervalo_confianza_t_left,intervalo_confianza_t_right,intervalo_confianza_n_left,intervalo_confianza_n_right
0,0.5652695307367364,0.5621497005038785,0.5683893609695942,0.5621497772295535,0.5683892842439192
1,0.6000753593372655,0.5971087007439567,0.6030420179305743,0.5971087701623812,0.6030419485121499
2,0.6027651246132846,0.5997603241153326,0.6057699251112365,0.5997603966864785,0.6057698525400906
3,0.5342699945347243,0.5316091040178194,0.5369308850516293,0.5316091662609572,0.5369308228084915
4,0.5493135855490162,0.5467070849239681,0.5519200861740643,0.546707147275789,0.5519200238222435
5,0.5829588625696934,0.5803748155452072,0.5855429095941797,0.5803748736840673,0.5855428514553196
6,0.5675743210743118,0.5648786099981837,0.5702700321504399,0.5648786713104259,0.5702699708381977
7,0.5695889503481811,0.5664879479364515,0.5726899527599107,0.5664880275053017,0.5726898731910606
8,0.5596073468015992,0.5566761986001942,0.5625384950030041,0.5566762689824205,0.5625384246207779
9,0.5350273224152083,0.5320331302801421,0.5380215145502746,0.532033205129639,0.5380214397007776
10,0.47217598479418466,0.469576772528434,0.4747751970599353,0.46957683182079846,0.47477513776757085
11,0.5159084413722302,0.5135356407169807,0.5182812420274798,0.513535695994683,0.5182811867497775
12,0.5436100431422655,0.5407103588802056,0.5465097274043254,0.54071043105117,0.5465096552333609
13,0.617354496838923,0.6141471397700613,0.6205618539077846,0.6141472148584607,0.6205617788193852
14,0.4949727937704468,0.4924403124503263,0.49750527509056724,0.4924403720409943,0.4975052154998993
15,0.5666487758003916,0.5640263704932513,0.5692711811075319,0.5640264300531402,0.569271121547643
total,0.5547236748811207,0.5540170285533835,0.5554303212088579,0.5540170296009108,0.5554303201613306
